,Name,Total Population,Public Use Microdata Area,Year
176,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",130382,00104,2014
177,"Rock Island County PUMA, Illinois",146964,00105,2014
178,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",178905,00202,2014
179,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",111998,00300,2014
180,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",142662,00401,2014
181,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",141584,00501,2014
182,"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",102643,00600,2014
183,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",108696,00700,2014
184,"South & Southeast Illinois PUMA, Illinois",139446,00800,2014
185,"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",188741,00900,2014
186,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",158629,01001,2014
187,"St. Clair County (Central & Northeast) PUMA, Illinois",151166,01104,2014
188,"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",117249,01105,2014
189,"Madison County (East) PUMA, Illinois",121395,01204,2014
190,"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",146542,01205,2014
191,"Sangamon County--Springfield City PUMA, Illinois",198808,01300,2014
192,"Macon County--Decatur City PUMA, Illinois",109833,01500,2014
193,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",147245,01602,2014
194,"Peoria County--Peoria City PUMA, Illinois",187197,01701,2014
195,"Tazewell County PUMA, Illinois",135872,01900,2014
196,"McLean County PUMA, Illinois",172390,02000,2014
197,"Champaign County--Champaign & Urbana Cities PUMA, Illinois",204214,02100,2014
198,"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",162427,02200,2014
199,"Kankakee County PUMA, Illinois",112682,02300,2014
200,"LaSalle County PUMA, Illinois",112698,02400,2014
201,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",149875,02501,2014
202,"DeKalb County PUMA, Illinois",104919,02601,2014
203,"Stephenson & Ogle Counties PUMA, Illinois",99835,02700,2014
204,"Winnebago County (Southeast & West)--Rockford City PUMA, Illinois",201671,02801,2014
205,"Winnebago (Northeast) & Boone Counties PUMA, Illinois",144360,02901,2014
206,"Kane County (Southeast)--Aurora Township PUMA, Illinois",147345,03005,2014
207,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",117531,03007,2014
208,"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",139722,03008,2014
209,"Kane County (West) PUMA, Illinois",117276,03009,2014
210,"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",134031,03102,2014
211,"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",141137,03105,2014
212,"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",170812,03106,2014
213,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",123928,03107,2014
214,"Will County (South) PUMA, Illinois",112200,03108,2014
215,"DuPage County (Central)--Milton Township PUMA, Illinois",118164,03202,2014
216,"DuPage County (South Central)--Lisle Township PUMA, Illinois",117607,03203,2014
217,"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",148306,03204,2014
218,"DuPage County (East Central)--York Township PUMA, Illinois",124874,03205,2014
219,"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",116869,03207,2014
220,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",179092,03208,2014
221,"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",121573,03209,2014
222,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",159759,03306,2014
223,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",140828,03307,2014
224,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",114364,03308,2014
225,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",154167,03309,2014
226,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",134112,03310,2014
227,"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",128433,03401,2014
228,"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",179032,03407,2014
229,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",193173,03408,2014
230,"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",153696,03409,2014
231,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",175173,03410,2014
232,"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",174296,03411,2014
233,"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",110795,03412,2014
234,"Cook County (Southeast)--Thornton Township PUMA, Illinois",170003,03413,2014
235,"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",168619,03414,2014
236,"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",126111,03415,2014
237,"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",142009,03416,2014
238,"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",121383,03417,2014
239,"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",110997,03418,2014
240,"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",123437,03419,2014
241,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",186363,03420,2014
242,"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",181691,03421,2014
243,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",132059,03422,2014
244,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",164391,03501,2014
245,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",163919,03502,2014
246,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",147381,03503,2014
247,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",145956,03504,2014
248,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",134455,03520,2014
249,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",191620,03521,2014
250,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",138008,03522,2014
251,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",202175,03523,2014
252,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",178197,03524,2014
253,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",136968,03525,2014
254,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",161964,03526,2014
255,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",152218,03527,2014
256,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",150711,03528,2014
257,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",181813,03529,2014
258,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",131807,03530,2014
259,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",136087,03531,2014
260,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",132887,03532,2014
261,"McHenry County (North, West & Central) PUMA; Illinois",134593,03601,2014
262,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",173235,03602,2014
263,"Kendall & Grundy Counties PUMA, Illinois",168367,03700,2014
264,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",129875,00104,2015
265,"Rock Island County PUMA, Illinois",147161,00105,2015
266,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",177803,00202,2015
267,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",111521,00300,2015
268,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",141551,00401,2015
269,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",141058,00501,2015
270,"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",101798,00600,2015
271,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",108264,00700,2015
272,"South & Southeast Illinois PUMA, Illinois",138445,00800,2015
273,"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",188159,00900,2015
274,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",158308,01001,2015
275,"St. Clair County (Central & Northeast) PUMA, Illinois",150631,01104,2015
276,"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",116398,01105,2015
277,"Madison County (East) PUMA, Illinois",121448,01204,2015
278,"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",145908,01205,2015
279,"Sangamon County--Springfield City PUMA, Illinois",199016,01300,2015
280,"Macon County--Decatur City PUMA, Illinois",109193,01500,2015
281,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",146692,01602,2015
282,"Peoria County--Peoria City PUMA, Illinois",187112,01701,2015
283,"Tazewell County PUMA, Illinois",135697,01900,2015
284,"McLean County PUMA, Illinois",173114,02000,2015
285,"Champaign County--Champaign & Urbana Cities PUMA, Illinois",205766,02100,2015
286,"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",160945,02200,2015
287,"Kankakee County PUMA, Illinois",112221,02300,2015
288,"LaSalle County PUMA, Illinois",112579,02400,2015
289,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",149187,02501,2015
290,"DeKalb County PUMA, Illinois",104345,02601,2015
291,"Stephenson & Ogle Counties PUMA, Illinois",99022,02700,2015
292,"Winnebago County (Southeast & West)--Rockford City PUMA, Illinois",200427,02801,2015
293,"Winnebago (Northeast) & Boone Counties PUMA, Illinois",143863,02901,2015
294,"Kane County (Southeast)--Aurora Township PUMA, Illinois",147774,03005,2015
295,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",117618,03007,2015
296,"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",140424,03008,2015
297,"Kane County (West) PUMA, Illinois",119070,03009,2015
298,"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",134458,03102,2015
299,"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",141394,03105,2015
300,"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",171412,03106,2015
301,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",124717,03107,2015
302,"Will County (South) PUMA, Illinois",112014,03108,2015
303,"DuPage County (Central)--Milton Township PUMA, Illinois",118528,03202,2015
304,"DuPage County (South Central)--Lisle Township PUMA, Illinois",118933,03203,2015
305,"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",148830,03204,2015
306,"DuPage County (East Central)--York Township PUMA, Illinois",125321,03205,2015
307,"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",117413,03207,2015
308,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",179152,03208,2015
309,"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",122235,03209,2015
310,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",159730,03306,2015
311,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",140609,03307,2015
312,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",114726,03308,2015
313,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",153348,03309,2015
314,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",134505,03310,2015
315,"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",128337,03401,2015
316,"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",179053,03407,2015
317,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",193147,03408,2015
318,"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",153953,03409,2015
319,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",175999,03410,2015
320,"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",174386,03411,2015
321,"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",110667,03412,2015
322,"Cook County (Southeast)--Thornton Township PUMA, Illinois",170054,03413,2015
323,"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",168737,03414,2015
324,"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",126940,03415,2015
325,"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",142761,03416,2015
326,"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",122612,03417,2015
327,"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",110229,03418,2015
328,"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",123407,03419,2015
329,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",186596,03420,2015
330,"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",182080,03421,2015
331,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",131409,03422,2015
332,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",164412,03501,2015
333,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",165171,03502,2015
334,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",147595,03503,2015
335,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",145478,03504,2015
336,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",135135,03520,2015
337,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",189826,03521,2015
338,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",139759,03522,2015
339,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",202511,03523,2015
340,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",181760,03524,2015
341,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",141554,03525,2015
342,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",162860,03526,2015
343,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",153737,03527,2015
344,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",146174,03528,2015
345,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",184128,03529,2015
346,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",132374,03530,2015
347,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",132120,03531,2015
348,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",131432,03532,2015
349,"McHenry County (North, West & Central) PUMA; Illinois",134545,03601,2015
350,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",172792,03602,2015
351,"Kendall & Grundy Counties PUMA, Illinois",170313,03700,2015
