Name,2012,2013,2014,2015
"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",112582,112391,111998,111521
"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",143980,143394,142662,141551
"Champaign County--Champaign & Urbana Cities PUMA, Illinois",200931,202428,204214,205766
"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",127124,132871,136968,141554
"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",167887,167162,164391,164412
"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",161170,162430,163919,165171
"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",145745,146506,147381,147595
"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",147691,148787,145956,145478
"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",140396,139456,138008,139759
"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",132505,133211,134455,135135
"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",131191,132789,131807,132374
"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",141288,138115,136087,132120
"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",151798,151395,150711,146174
"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",138811,135733,132887,131432
"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",179284,180854,181813,184128
"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",162263,162754,161964,162860
"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",148078,150404,152218,153737
"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",188448,188559,191620,189826
"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",201675,198328,202175,202511
"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",174815,174862,178197,181760
"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",109351,109004,108696,108264
"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",191913,192458,193173,193147
"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",186023,186248,186363,186596
"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",180137,181017,181691,182080
"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",125872,125950,126111,126940
"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",140404,141142,142009,142761
"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",122270,122860,123437,123407
"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",119439,120515,121383,122612
"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",126768,127709,128433,128337
"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",110573,111040,110997,110229
"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",109928,110194,110795,110667
"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",173264,173838,174296,174386
"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",167138,168006,168619,168737
"Cook County (Southeast)--Thornton Township PUMA, Illinois",169592,169768,170003,170054
"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",172751,174400,175173,175999
"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",152204,153022,153696,153953
"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",178278,178686,179032,179053
"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",130954,131303,132059,131409
"DeKalb County PUMA, Illinois",104820,104820,104919,104345
"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",103148,102988,102643,101798
"DuPage County (Central)--Milton Township PUMA, Illinois",117379,117751,118164,118528
"DuPage County (East Central)--York Township PUMA, Illinois",123891,124382,124874,125321
"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",177597,178502,179092,179152
"DuPage County (South Central)--Lisle Township PUMA, Illinois",116640,117079,117607,118933
"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",147211,147753,148306,148830
"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",119583,120926,121573,122235
"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",116307,116410,116869,117413
"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",180417,179860,178905,177803
"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",188132,188313,188741,188159
"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",132179,131486,130382,129875
"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",116478,117044,117531,117618
"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",139220,139383,139722,140424
"Kane County (Southeast)--Aurora Township PUMA, Illinois",145900,146600,147345,147774
"Kane County (West) PUMA, Illinois",113293,115353,117276,119070
"Kankakee County PUMA, Illinois",113170,112991,112682,112221
"Kendall & Grundy Counties PUMA, Illinois",164096,166430,168367,170313
"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",150750,150365,149875,149187
"LaSalle County PUMA, Illinois",113688,113295,112698,112579
"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",154463,154232,154167,153348
"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",141075,140856,140828,140609
"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",158429,159246,159759,159730
"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",113235,113813,114364,114726
"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",134194,134058,134112,134505
"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",164100,163271,162427,160945
"Macon County--Decatur City PUMA, Illinois",110558,110262,109833,109193
"Madison County (East) PUMA, Illinois",120735,121225,121395,121448
"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",147851,147148,146542,145908
"McHenry County (North, West & Central) PUMA; Illinois",133550,134221,134593,134545
"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",174499,173733,173235,172792
"McLean County PUMA, Illinois",169689,171240,172390,173114
"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",148212,147781,147245,146692
"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",159275,158864,158629,158308
"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",141872,141796,141584,141058
"Peoria County--Peoria City PUMA, Illinois",186399,187117,187197,187112
"Rock Island County PUMA, Illinois",147504,147477,146964,147161
"Sangamon County--Springfield City PUMA, Illinois",197474,198269,198808,199016
"South & Southeast Illinois PUMA, Illinois",141099,140392,139446,138445
"St. Clair County (Central & Northeast) PUMA, Illinois",150502,151015,151166,150631
"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",118371,117924,117249,116398
"Stephenson & Ogle Counties PUMA, Illinois",100910,100407,99835,99022
"Tazewell County PUMA, Illinois",135201,135747,135872,135697
"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",123354,123432,123928,124717
"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",139417,140432,141137,141394
"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",168899,169939,170812,171412
"Will County (South) PUMA, Illinois",111804,111996,112200,112014
"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",134195,133889,134031,134458
"Winnebago (Northeast) & Boone Counties PUMA, Illinois",144643,144663,144360,143863
"Winnebago County (Southeast & West)--Rockford City PUMA, Illinois",203931,202789,201671,200427
