,Community,"Community 
Number",Public Use Area
0,Rogers Park,1.0,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois"
1,West Ridge,2.0,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois"
2,Uptown,3.0,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois"
3,Lincoln Square,4.0,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois"
4,North Center,5.0,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois"
5,Lake View,6.0,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois"
6,Lincoln Park,7.0,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois"
7,Near North Side,8.0,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois"
8,Edison Park,9.0,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois"
9,Norwood Park,10.0,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois"
10,Norwood Park,10.0,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois"
11,Jefferson Park,11.0,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois"
12,Forest Glen,12.0,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois"
13,North Park,13.0,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois"
14,Albany Park,14.0,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois"
15,Portage Park,15.0,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois"
16,Irving Park,16.0,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois"
17,Dunning,17.0,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois"
18,Montclare,18.0,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois"
19,Belmont Cragin,19.0,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois"
20,Hermosa,20.0,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois"
21,Avondale,21.0,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois"
22,Logan Square,22.0,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois"
23,Humboldt Park,23.0,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois"
24,West Town,24.0,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois"
25,Austin,25.0,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois"
26,West Garfield Park,26.0,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois"
27,East Garfield Park,27.0,
28,Near West Side,28.0,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois"
29,North Lawndale,29.0,
30,South Lawndale,30.0,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois"
31,Lower West Side,31.0,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois"
32,Loop,32.0,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois"
33,Near South Side,33.0,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois"
34,Armour Square,34.0,
35,Douglas,35.0,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois"
36,Douglas,35.0,"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois"
37,Oakland,36.0,
38,Fuller Park,37.0,
39,Grand Boulevard,38.0,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois"
40,Kenwood,39.0,
41,Washington Park,40.0,
42,Hyde Park,41.0,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois"
43,Woodlawn,42.0,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois"
44,South Shore,43.0,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois"
45,Chatham,44.0,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois"
46,Avalon Park,45.0,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois"
47,South Chicago,46.0,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois"
48,Burnside,47.0,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois"
49,Calumet Heights,48.0,
50,Roseland,49.0,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois"
51,Pullman,50.0,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois"
52,South Deering,51.0,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois"
53,East Side,52.0,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois"
54,West Pullman,53.0,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois"
55,Riverdale,54.0,
56,Hegewisch,55.0,
57,Garfield Ridge,56.0,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois"
58,Archer Heights,57.0,
59,Brighton Park,58.0,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois"
60,McKinley Park,59.0,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois"
61,Bridgeport,60.0,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois"
62,New City,61.0,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois"
63,West Elsdon,62.0,
64,Gage Park,63.0,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois"
65,Clearing,64.0,
66,West Lawn,65.0,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois"
67,Chicago Lawn,66.0,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois"
68,West Englewood,67.0,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois"
69,Englewood,68.0,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois"
70,Greater Grand Crossing,69.0,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois"
71,Ashburn,70.0,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois"
72,Auburn Gresham,71.0,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois"
73,Beverly,72.0,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois"
74,Washington Heights,73.0,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois"
75,Mount Greenwood,74.0,
76,Morgan Park,75.0,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois"
77,O'Hare,76.0,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois"
78,Edgewater,77.0,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois"
